            x [m]            y [m]            z [m]         Ex [V/m]         Ey [V/m]         Ez [V/m]
           0.2235           -0.105                0           497801      3.40267e+06          6502.01
           0.2335           -0.105                0           356733      3.62642e+06         -8075.98
           0.2435           -0.105                0           224674      3.78847e+06             8206
           0.2535           -0.105                0          63692.3       3.8301e+06         -3117.89
           0.2635           -0.105                0         -58373.5      3.81377e+06          1660.59
           0.2735           -0.105                0          -162634      3.77643e+06         -3014.35
           0.2835           -0.105                0          -274846      3.65387e+06         -3697.22
           0.2935           -0.105                0          -386106      3.49586e+06          4511.26
           0.3035           -0.105                0          -517005      3.27069e+06          4957.33
           0.3135           -0.105                0          -610621      2.98218e+06         -7999.93
           0.3235           -0.105                0          -676436      2.64352e+06          4618.68
           0.3335           -0.105                0          -707266      2.29035e+06         -1765.75
           0.3435           -0.105                0          -683147      1.91301e+06         -147.488
           0.3535           -0.105                0          -634417      1.58622e+06         -9051.74
           0.3635           -0.105                0          -584866      1.27467e+06         -1928.92
           0.3735           -0.105                0          -504510      1.01238e+06           2339.6
           0.3835           -0.105                0          -435749           793300          335.158
           0.3935           -0.105                0          -370633           598615          59.5522
           0.4035           -0.105                0          -311008           446224          1386.23
           0.4135           -0.105                0          -263591           314514          191.841
           0.4235           -0.105                0          -225379           205853          348.551
           0.4335           -0.105                0          -202384           113215         -241.169
           0.4435           -0.105                0          -191082          28571.7         -40.0693
           0.0035           -0.095                0           203698          24525.1         -56.2723
           0.0135           -0.095                0           204744          94449.3         -54.8502
           0.0235           -0.095                0           208267           165506          689.744
           0.0335           -0.095                0           212802           236339           400.91
           0.0435           -0.095                0           220188           311131          1333.88
           0.0535           -0.095                0           230855           389050         -1046.91
           0.0635           -0.095                0           245125           471091           113.85
           0.0735           -0.095                0           257481           552903         -469.811
           0.0835           -0.095                0           279115           646086          671.289
           0.0935           -0.095                0           300076           741492          1432.37
           0.1035           -0.095                0           322602           842763          1978.32
           0.1135           -0.095                0           358346           959717           -276.9
           0.1235           -0.095                0           394760      1.08268e+06          3411.88
           0.1335           -0.095                0           448944      1.22782e+06          1067.95
           0.1435           -0.095                0           501979      1.37766e+06          595.991
           0.1535           -0.095                0           569648      1.55311e+06          1456.17
           0.1635           -0.095                0           658600      1.76209e+06         -7140.67
           0.1735           -0.095                0           747944      1.99684e+06         -5303.25
           0.1835           -0.095                0           883653      2.27948e+06          5447.92
           0.1935           -0.095                0           946998      2.63168e+06          7286.08
           0.2035           -0.095                0      1.03593e+06      3.08204e+06          9107.37
           0.2135           -0.095                0           993372      3.55326e+06         -13533.8
           0.2235           -0.095                0           865349      3.92176e+06         -10344.8
           0.2335           -0.095                0           591628       4.2951e+06          8277.79
           0.2435           -0.095                0           271513      4.39946e+06         -26964.6
           0.2535           -0.095                0          70845.9      4.44042e+06         -12535.2
           0.2635           -0.095                0           -92365        4.383e+06          3560.72
           0.2735           -0.095                0          -258108      4.31844e+06          6205.16
           0.2835           -0.095                0          -419404      4.21931e+06            12370
           0.2935           -0.095                0          -589221      4.07346e+06          1234.15
           0.3035           -0.095                0          -765436      3.80165e+06          24749.5
           0.3135           -0.095                0          -966150      3.44138e+06          30131.2
           0.3235           -0.095                0     -1.09975e+06      2.98248e+06         -10641.6
           0.3335           -0.095                0     -1.14311e+06      2.52796e+06         -14330.3
           0.3435           -0.095                0     -1.07048e+06      2.05613e+06          23852.7
           0.3535           -0.095                0          -970954      1.66562e+06          8598.95
           0.3635           -0.095                0          -883258      1.31271e+06         -10776.4
           0.3735           -0.095                0          -762774      1.03254e+06          -5062.1
           0.3835           -0.095                0          -656067           775353         -249.069
           0.3935           -0.095                0          -549236           587367          656.043
           0.4035           -0.095                0          -455908           426519         -3746.78
           0.4135           -0.095                0          -376363           283605         -836.016
           0.4235           -0.095                0          -326561           185783           339.71
           0.4335           -0.095                0          -286733           101478          -154.63
           0.4435           -0.095                0          -269193          25441.7          102.209
           0.0035           -0.085                0           276657          26756.6          74.7919
           0.0135           -0.085                0           278009           103267          442.922
           0.0235           -0.085                0           282001           178977         -141.671
           0.0335           -0.085                0           288160           257544         -2044.42
           0.0435           -0.085                0           298101           336691         -575.732
           0.0535           -0.085                0           311255           419942          190.745
           0.0635           -0.085                0           328483           507403           1138.8
           0.0735           -0.085                0           347881           596918         -2045.51
           0.0835           -0.085                0           374065           695113          814.863
           0.0935           -0.085                0           401824           796411         -1538.23
           0.1035           -0.085                0           440702           911158          1431.37
           0.1135           -0.085                0           479689      1.02908e+06          3906.23
           0.1235           -0.085                0           531785      1.15836e+06         -3093.34
           0.1335           -0.085                0           593521      1.30602e+06          13.7467
           0.1435           -0.085                0           672038       1.4685e+06         -2638.81
           0.1535           -0.085                0           759817      1.63824e+06          10129.3
           0.1635           -0.085                0           867558       1.8455e+06         -7827.58
           0.1735           -0.085                0      1.01159e+06      2.10947e+06          9631.93
           0.1835           -0.085                0      1.17157e+06      2.40783e+06          4897.38
           0.1935           -0.085                0      1.36871e+06      2.82044e+06         -4772.18
           0.2035           -0.085                0      1.53136e+06      3.28472e+06         -3194.93
           0.2135           -0.085                0      1.57687e+06      4.09043e+06         -20419.5
           0.2235           -0.085                0      1.28122e+06      4.84795e+06          27121.5
           0.2335           -0.085                0           747263      5.20216e+06         -9792.93
           0.2435           -0.085                0           307663       5.2323e+06          35607.8
           0.2535           -0.085                0           7730.3      5.19101e+06         -3951.14
           0.2635           -0.085                0          -172089      5.05786e+06          11788.2
           0.2735           -0.085                0          -339458      4.99201e+06         -25688.4
           0.2835           -0.085                0          -524080      4.86944e+06          2529.63
           0.2935           -0.085                0          -746784      4.78137e+06           -14815
           0.3035           -0.085                0     -1.12391e+06      4.48546e+06         -27449.6
           0.3135           -0.085                0     -1.47423e+06      4.14667e+06         -14418.5
           0.3235           -0.085                0     -1.65795e+06      3.45011e+06          18429.8
           0.3335           -0.085                0      -1.6564e+06      2.79771e+06           -28524
           0.3435           -0.085                0     -1.55823e+06      2.16579e+06           2317.8
           0.3535           -0.085                0     -1.43894e+06      1.75569e+06          12583.9
           0.3635           -0.085                0     -1.20662e+06      1.28634e+06         -351.958
           0.3735           -0.085                0     -1.05832e+06      1.00426e+06          1162.97
           0.3835           -0.085                0          -877704           708220         -556.422
           0.3935           -0.085                0          -718285           505597         -3952.88
           0.4035           -0.085                0          -608765           355828         -7476.44
           0.4135           -0.085                0          -483212           231205          297.192
           0.4235           -0.085                0          -405731           144588          884.287
           0.4335           -0.085                0          -358213          77873.5          286.533
           0.4435           -0.085                0          -334217          19528.3          63.4449
           0.0035           -0.075                0           357090          29692.7          35.8708
           0.0135           -0.075                0           358342           113480          683.268
           0.0235           -0.075                0           362902           196872         -406.059
           0.0335           -0.075                0           370810           281667         -268.895
           0.0435           -0.075                0           383499           369506         -569.413
           0.0535           -0.075                0           398918           458442         -1701.27
           0.0635           -0.075                0           420184           552875         -551.985
           0.0735           -0.075                0           445060           650393           1091.3
           0.0835           -0.075                0           476724           755657         -901.759
           0.0935           -0.075                0           512694           864256          3367.75
           0.1035           -0.075                0           556897           982515         -844.148
           0.1135           -0.075                0           612737      1.11311e+06         -424.119
           0.1235           -0.075                0           672287      1.24885e+06         -220.985
           0.1335           -0.075                0           749527      1.39914e+06          3632.45
           0.1435           -0.075                0           842147      1.56337e+06          178.985
           0.1535           -0.075                0           954151      1.74166e+06         -6643.09
           0.1635           -0.075                0      1.09657e+06      1.94112e+06         -2748.51
           0.1735           -0.075                0      1.25836e+06       2.1935e+06         -6096.37
           0.1835           -0.075                0      1.51237e+06      2.46772e+06          854.582
           0.1935           -0.075                0      1.93539e+06      2.89904e+06          4662.65
           0.2035           -0.075                0      2.29685e+06      3.39448e+06          6805.02
           0.2135           -0.075                0      2.70851e+06      4.61622e+06         -12185.8
           0.2235           -0.075                0      2.31355e+06      6.14495e+06            10445
           0.2335           -0.075                0           869854      6.72788e+06         -5321.15
           0.2435           -0.075                0           148941       6.3616e+06          1311.06
           0.2535           -0.075                0          -130858      6.07274e+06         -1234.55
           0.2635           -0.075                0          -293101      5.90997e+06          -1337.6
           0.2735           -0.075                0          -412334      5.80498e+06         -8213.02
           0.2835           -0.075                0          -590528      5.77406e+06          4735.36
           0.2935           -0.075                0          -887049      5.77559e+06         -8882.27
           0.3035           -0.075                0     -1.42324e+06      5.64518e+06          1465.01
           0.3135           -0.075                0     -2.13009e+06      5.02815e+06          7970.32
           0.3235           -0.075                0      -2.4884e+06      4.01605e+06          5315.43
           0.3335           -0.075                0     -2.36894e+06      2.99263e+06         -6046.85
           0.3435           -0.075                0     -2.19152e+06      2.26516e+06         -6814.35
           0.3535           -0.075                0     -1.83252e+06      1.71318e+06         -27404.4
           0.3635           -0.075                0     -1.56841e+06      1.23945e+06         -10189.2
           0.3735           -0.075                0     -1.37732e+06           901202          7700.58
           0.3835           -0.075                0     -1.12602e+06           569325         -1213.58
           0.3935           -0.075                0          -886336           406718         -7985.99
           0.4035           -0.075                0          -736334           257384         -3627.49
           0.4135           -0.075                0          -578348           139078          2128.82
           0.4235           -0.075                0          -478921          87022.2          213.356
           0.4335           -0.075                0          -410995          44811.5         -67.9604
           0.4435           -0.075                0          -377593          10239.2          5.23254
           0.0035           -0.065                0           448643          35480.2          78.5322
           0.0135           -0.065                0           441796           127363        -0.305573
           0.0235           -0.065                0           452420           218409          -65.743
           0.0335           -0.065                0           462155           314126         -129.732
           0.0435           -0.065                0           476049           410035          -189.13
           0.0535           -0.065                0           495489           509165         -805.037
           0.0635           -0.065                0           519574           610292         -151.484
           0.0735           -0.065                0           550032           717243         -319.248
           0.0835           -0.065                0           587425           830557         -463.942
           0.0935           -0.065                0           631978           950855         -582.933
           0.1035           -0.065                0           684296      1.07856e+06         -1528.47
           0.1135           -0.065                0           745942      1.21329e+06          1821.44
           0.1235           -0.065                0           819355      1.35916e+06          120.714
           0.1335           -0.065                0           906393      1.51516e+06          1120.49
           0.1435           -0.065                0      1.01099e+06      1.68247e+06          3456.68
           0.1535           -0.065                0      1.14338e+06      1.86337e+06          1178.82
           0.1635           -0.065                0       1.3074e+06      2.05741e+06         -2359.69
           0.1735           -0.065                0      1.51945e+06      2.26298e+06          4628.79
           0.1835           -0.065                0      1.81377e+06      2.51894e+06         -2159.53
           0.1935           -0.065                0      2.31048e+06      2.76979e+06         -3111.29
           0.2035           -0.065                0      3.06285e+06      3.37558e+06         -17405.9
           0.2135           -0.065                0      4.40637e+06      4.41584e+06          3898.01
           0.2235           -0.065                0      5.85669e+06      9.02435e+06         -2105.56
           0.2335           -0.065                0          -514871      9.13089e+06          3666.55
           0.2435           -0.065                0          -449515      7.63719e+06         -2151.83
           0.2535           -0.065                0          -434283      7.13904e+06          771.305
           0.2635           -0.065                0          -437425      6.90312e+06          176.488
           0.2735           -0.065                0          -463035      6.80934e+06          471.604
           0.2835           -0.065                0          -526072      6.84528e+06          1330.86
           0.2935           -0.065                0          -705400      7.08624e+06         -5891.81
           0.3035           -0.065                0     -1.44225e+06      7.69741e+06          997.309
           0.3135           -0.065                0     -3.47157e+06      6.92634e+06          5105.72
           0.3235           -0.065                0     -3.97814e+06      4.67994e+06          17856.2
           0.3335           -0.065                0     -3.49354e+06      3.11043e+06         -553.492
           0.3435           -0.065                0      -2.8688e+06       2.1965e+06         -3295.69
           0.3535           -0.065                0     -2.45948e+06      1.66961e+06          21489.8
           0.3635           -0.065                0     -2.04052e+06      1.17344e+06          20191.2
           0.3735           -0.065                0     -1.64192e+06           757374          10.7578
           0.3835           -0.065                0     -1.37444e+06           431912         -2027.72
           0.3935           -0.065                0     -1.09775e+06           243641          844.587
           0.4035           -0.065                0          -862206          87921.9          7880.19
           0.4135           -0.065                0          -647073          45712.2         -3267.04
           0.4235           -0.065                0          -496501         -12342.5         -1220.34
           0.4335           -0.065                0          -428363         -13806.8         -264.849
           0.4435           -0.065                0          -388987         -3550.97          -39.472
           0.0035           -0.055                0           489670          3682.65         -26.6664
           0.0135           -0.055                0           501396          31582.1           116.02
           0.0235           -0.055                0           512928          54329.6          60.5963
           0.0335           -0.055                0           536075          66360.9         -4.87434
           0.0435           -0.055                0           565883          79108.5           13.447
           0.0535           -0.055                0           602555          93440.6         -25.0458
           0.0635           -0.055                0           646389           109686         -22.3128
           0.0735           -0.055                0           698032           127819         -44.0266
           0.0835           -0.055                0           758329           148188          8.83804
           0.0935           -0.055                0           827978           171380          25.1896
           0.1035           -0.055                0           821554      1.20684e+06         -434.613
           0.1135           -0.055                0           892516      1.35617e+06          632.305
           0.1235           -0.055                0           975203      1.51364e+06          983.741
           0.1335           -0.055                0      1.07309e+06       1.6815e+06         -128.649
           0.1435           -0.055                0      1.18813e+06      1.85681e+06         -948.547
           0.1535           -0.055                0      1.32677e+06       2.0397e+06          182.037
           0.1635           -0.055                0      1.49681e+06      2.22488e+06          422.246
           0.1735           -0.055                0      1.71706e+06       2.4027e+06          211.688
           0.1835           -0.055                0      2.01652e+06      2.54952e+06         -606.452
           0.1935           -0.055                0       2.4806e+06      2.62075e+06         -1136.07
           0.2035           -0.055                0      3.35541e+06      2.61711e+06         -2185.67
           0.2135           -0.055                0       5.1285e+06       2.1251e+06         -3862.39
           0.2235           -0.055                0         -5.64132           10.025         -3.14376
           0.2335           -0.055                0          6.93422         -6.63907         -3.78841
           0.2435           -0.055                0           1.0573         0.506285         -6.95734
           0.2535           -0.055                0         -5.13214          7.15669          -4.1738
           0.2635           -0.055                0          8.63043         -10.5134          3.57625
           0.2735           -0.055                0           6.1306           13.641         0.592052
           0.2835           -0.055                0         -8.91206          8.13719         -6.21391
           0.2935           -0.055                0          5.49395          4.43147         -0.69486
           0.3035           -0.055                0         -1.21845         -16.7255          7.55803
           0.3135           -0.055                0         -7.75795         -9.18486          -5.9309
           0.3235           -0.055                0     -6.41854e+06        4.239e+06         -2510.58
           0.3335           -0.055                0     -4.57204e+06      2.65736e+06           -20066
           0.3435           -0.055                0     -3.49991e+06       1.7935e+06          -6171.1
           0.3535           -0.055                0     -2.81635e+06      1.32194e+06         -9966.03
           0.3635           -0.055                0     -2.39649e+06           899313          7296.03
           0.3735           -0.055                0     -2.00472e+06           525393          108.187
           0.3835           -0.055                0     -1.67068e+06           201506          11327.2
           0.3935           -0.055                0     -1.29169e+06         -53600.5          232.383
           0.4035           -0.055                0          -940211          -147866         -806.465
           0.4135           -0.055                0          -657211          -196183         -298.311
           0.4235           -0.055                0          -485300          -145606         -2814.63
           0.4335           -0.055                0          -391498           -80852          1490.39
           0.4435           -0.055                0          -354533         -22029.8          3.63117
           0.0035           -0.045                0           536274            21412          13.5173
           0.0135           -0.045                0           543776            78333         -283.324
           0.0235           -0.045                0           549247           137188         -42.6772
           0.0335           -0.045                0           564134           201100          262.717
           0.0435           -0.045                0           586295           265356          288.912
           0.0535           -0.045                0           615987           331650         -129.927
           0.0635           -0.045                0           652737           399688         -240.212
           0.0735           -0.045                0           697222           469757          151.366
           0.0835           -0.045                0           750141           542337          372.542
           0.0935           -0.045                0           812364           616221          418.976
           0.1035           -0.045                0           932459           143874          25.0317
           0.1135           -0.045                0      1.02796e+06           165230          44.7109
           0.1235           -0.045                0      1.13756e+06           189612          15.0811
           0.1335           -0.045                0      1.26359e+06           216312         -24.5726
           0.1435           -0.045                0      1.40861e+06           245545         -28.5732
           0.1535           -0.045                0      1.57577e+06           277692         -135.445
           0.1635           -0.045                0      1.77056e+06           312567          238.237
           0.1735           -0.045                0        1.999e+06           349434         -147.578
           0.1835           -0.045                0      2.26887e+06           384734          6.81738
           0.1935           -0.045                0      2.58772e+06           410102           583.58
           0.2035           -0.045                0      2.96319e+06           400861         -326.559
           0.2135           -0.045                0      3.35983e+06           293314         -404.716
           0.2235           -0.045                0      1.22414e+06      1.07871e+06          8936.08
           0.2335           -0.045                0        -0.245359          3.15183          3.06561
           0.2435           -0.045                0          10.4345           7.7852          10.1959
           0.2535           -0.045                0          42.4706           90.444         -175.435
           0.2635           -0.045                0          -0.5808         -13.0015          3.12456
           0.2735           -0.045                0          2.15226          19.3986         -5.60954
           0.2835           -0.045                0          4.28112         -14.1736          1.50307
           0.2935           -0.045                0         -1.89956          26.5557         -2.79443
           0.3035           -0.045                0         -10.6807          21.4021         -19.6521
           0.3135           -0.045                0         -15.8404           -4.243         -1.27016
           0.3235           -0.045                0     -7.63497e+06       1.1118e+06          -8095.1
           0.3335           -0.045                0     -5.18834e+06      1.48095e+06          3543.66
           0.3435           -0.045                0     -3.98143e+06      1.25651e+06         -2197.17
           0.3535           -0.045                0     -3.26297e+06           974958          759.617
           0.3635           -0.045                0     -2.74722e+06           615903          3401.68
           0.3735           -0.045                0     -2.40543e+06           229978          -309.19
           0.3835           -0.045                0     -1.98672e+06          -169820          -6254.4
           0.3935           -0.045                0      -1.5076e+06          -595024          3604.95
           0.4035           -0.045                0          -914662          -647572         -2211.86
           0.4135           -0.045                0          -554410          -499775         -416.373
           0.4235           -0.045                0          -381516          -311473          2024.49
           0.4335           -0.045                0          -296724          -172605         -2203.45
           0.4435           -0.045                0          -263463         -41635.8         -430.125
           0.0035           -0.035                0           599875            24160          44.4881
           0.0135           -0.035                0           605146          92648.9         -226.311
           0.0235           -0.035                0           615504           163332         -315.431
           0.0335           -0.035                0           632361           235746          753.451
           0.0435           -0.035                0           657036           312148         -163.068
           0.0535           -0.035                0           687473           385740          682.878
           0.0635           -0.035                0           726865           466560          321.884
           0.0735           -0.035                0           773259           547438          110.753
           0.0835           -0.035                0           828017           629955          272.416
           0.0935           -0.035                0           891305           715043          609.663
           0.1035           -0.035                0           964452           799267          659.931
           0.1135           -0.035                0      1.04841e+06           882667          183.329
           0.1235           -0.035                0      1.14373e+06           955224         -600.281
           0.1335           -0.035                0      1.25353e+06      1.02219e+06         -1396.36
           0.1435           -0.035                0      1.37782e+06      1.06787e+06          717.422
           0.1535           -0.035                0      1.52368e+06      1.08379e+06         -512.895
           0.1635           -0.035                0      1.69104e+06       1.0443e+06           1625.6
           0.1735           -0.035                0      1.89283e+06           914705          278.221
           0.1835           -0.035                0      2.13894e+06           641323         -198.498
           0.1935           -0.035                0      2.44214e+06           155542          2384.06
           0.2035           -0.035                0      2.81581e+06          -671918          1380.05
           0.2135           -0.035                0      3.26154e+06     -2.06266e+06          2118.23
           0.2235           -0.035                0          -1.0729         -2.53886          -2.2151
           0.2335           -0.035                0        -0.658015          4.56573         0.408887
           0.2435           -0.035                0          7.76802         -6.90402         0.751751
           0.2535           -0.035                0          -760504          -558142          14227.9
           0.2635           -0.035                0          96389.8          -206099          284.016
           0.2735           -0.035                0          70521.6         -62086.2          403.076
           0.2835           -0.035                0          28607.7         -17209.2          354.909
           0.2935           -0.035                0          10727.1          -4881.4         -83.0247
           0.3035           -0.035                0         -5.44157        0.0732177        -0.327694
           0.3135           -0.035                0          6.24948          7.82778          9.56832
           0.3235           -0.035                0     -5.53947e+06          -772213          420.936
           0.3335           -0.035                0     -4.79709e+06           424989          9339.55
           0.3435           -0.035                0     -4.06312e+06           651680         -6675.77
           0.3535           -0.035                0     -3.45814e+06           563103         -4105.42
           0.3635           -0.035                0     -3.09027e+06           366557          22221.9
           0.3735           -0.035                0     -2.81167e+06         -10584.1          -9423.1
           0.3835           -0.035                0     -2.65241e+06          -659491         -7626.93
           0.3935           -0.035                0     -2.06168e+06     -1.71971e+06         -3602.53
           0.4035           -0.035                0          -568470      -1.5815e+06          12707.2
           0.4135           -0.035                0          -236386          -879858          651.174
           0.4235           -0.035                0          -162128          -520945          96.6807
           0.4335           -0.035                0          -118072          -272514          1451.42
           0.4435           -0.035                0          -105820         -67043.8         -40.0102
           0.0035           -0.025                0           662171             2880         -14.3126
           0.0135           -0.025                0           667706            11138         -1.15909
           0.0235           -0.025                0           679895          19583.5          7.23835
           0.0335           -0.025                0           698858          28210.2         -15.4708
           0.0435           -0.025                0           724819          37124.6          12.2015
           0.0535           -0.025                0           758005            46293           11.871
           0.0635           -0.025                0           798620          55685.1        -0.970947
           0.0735           -0.025                0           846899          65340.7          10.6078
           0.0835           -0.025                0           903067          75144.9         -8.18695
           0.0935           -0.025                0           967118            85190          32.6456
           0.1035           -0.025                0      1.03935e+06          95011.4         -35.4355
           0.1135           -0.025                0      1.11955e+06           104580         -24.7262
           0.1235           -0.025                0      1.20758e+06           113367          9.69214
           0.1335           -0.025                0      1.30267e+06           120659         -4.04614
           0.1435           -0.025                0      1.40357e+06           125162          14.0172
           0.1535           -0.025                0      1.50784e+06           125295          14.6133
           0.1635           -0.025                0       1.6119e+06           118172           32.012
           0.1735           -0.025                0      1.70938e+06          99397.4         -30.7944
           0.1835           -0.025                0      1.79019e+06          62552.7          143.808
           0.1935           -0.025                0      1.83682e+06         -2442.68          213.869
           0.2035           -0.025                0      1.82075e+06          -109172         -493.279
           0.2135           -0.025                0      1.68309e+06          -265359          348.462
           0.2235           -0.025                0       1.3372e+06          -394607          117.243
           0.2335           -0.025                0           960398          -325830          48.6742
           0.2435           -0.025                0           706510          -213144         -192.608
           0.2535           -0.025                0           415677          7468.04         -1299.95
           0.2635           -0.025                0           509029         -67345.8         -288.401
           0.2735           -0.025                0           129242          53085.9          918.246
           0.2835           -0.025                0          33624.7          20672.5          634.728
           0.2935           -0.025                0          11713.3          6195.16         -55.9461
           0.3035           -0.025                0         -4.87132            3.488         -5.98153
           0.3135           -0.025                0          26.4853          7.27334        -0.340198
           0.3235           -0.025                0     -4.25856e+06          -663984          6173.53
           0.3335           -0.025                0     -4.38816e+06         -12878.4          4329.99
