            x [m]            y [m]            z [m]         Ex [V/m]         Ey [V/m]         Ez [V/m]
           0.2235           -0.105                0           626747      3.30731e+06          9123.54
           0.2335           -0.105                0           554762      3.65578e+06         -14945.9
           0.2435           -0.105                0           417627      3.96021e+06          2475.72
           0.2535           -0.105                0           211317      4.10558e+06         -1428.79
           0.2635           -0.105                0         -27612.7      4.15004e+06         -2324.08
           0.2735           -0.105                0          -248578      4.10044e+06          19715.5
           0.2835           -0.105                0          -462825      3.89994e+06         -2014.74
           0.2935           -0.105                0          -630403      3.59799e+06          2708.51
           0.3035           -0.105                0          -724727      3.24272e+06           1859.9
           0.3135           -0.105                0          -756942      2.81556e+06         -6300.77
           0.3235           -0.105                0          -767247      2.40534e+06         -1241.35
           0.3335           -0.105                0          -729811       2.0331e+06         -4688.25
           0.3435           -0.105                0          -662656      1.68491e+06          472.152
           0.3535           -0.105                0          -593219       1.3718e+06         -1602.51
           0.3635           -0.105                0          -521292      1.10841e+06         -9.19043
           0.3735           -0.105                0          -447041           876519           2611.5
           0.3835           -0.105                0          -380460           682401         -1427.36
           0.3935           -0.105                0          -320020           514926         -966.628
           0.4035           -0.105                0          -269644           381380          1195.31
           0.4135           -0.105                0          -228050           274012         -458.117
           0.4235           -0.105                0          -196153           177572         -653.682
           0.4335           -0.105                0          -174670          97103.8         -70.9678
           0.4435           -0.105                0          -164682            24586          92.5636
           0.0035           -0.095                0           199633          24039.1         -100.226
           0.0135           -0.095                0           200688          92274.2          520.892
           0.0235           -0.095                0           203564           162618          598.312
           0.0335           -0.095                0           209920           233670         -348.818
           0.0435           -0.095                0           216295           305978          1228.94
           0.0535           -0.095                0           225189           380200         -226.994
           0.0635           -0.095                0           238199           459555          1925.82
           0.0735           -0.095                0           252240           542830         -3461.35
           0.0835           -0.095                0           269130           629703         -1331.63
           0.0935           -0.095                0           290200           724654          1658.35
           0.1035           -0.095                0           316814           827715         -1126.71
           0.1135           -0.095                0           347171           940040          661.352
           0.1235           -0.095                0           385125      1.06134e+06          -7061.7
           0.1335           -0.095                0           424198       1.1926e+06          5385.58
           0.1435           -0.095                0           478536       1.3427e+06          14136.6
           0.1535           -0.095                0           537250      1.51001e+06          2115.21
           0.1635           -0.095                0           607361      1.69777e+06         -4522.05
           0.1735           -0.095                0           700544      1.92027e+06          12841.5
           0.1835           -0.095                0           813628      2.18594e+06         -8717.13
           0.1935           -0.095                0           890568      2.46575e+06          -9496.6
           0.2035           -0.095                0           987376      2.84953e+06         -6959.29
           0.2135           -0.095                0      1.06099e+06      3.24927e+06         -1476.95
           0.2235           -0.095                0      1.07438e+06      3.73828e+06          16126.4
           0.2335           -0.095                0           942900      4.18461e+06          14047.6
           0.2435           -0.095                0           714937      4.60283e+06           6168.7
           0.2535           -0.095                0           354037        4.841e+06          24429.7
           0.2635           -0.095                0         -9196.44      4.93541e+06         -3638.01
           0.2735           -0.095                0          -436413      4.84342e+06         -12646.2
           0.2835           -0.095                0          -779174      4.52923e+06         -1650.07
           0.2935           -0.095                0     -1.01297e+06      4.16747e+06         -22742.5
           0.3035           -0.095                0      -1.2059e+06      3.64567e+06          4700.84
           0.3135           -0.095                0     -1.24344e+06      3.10356e+06          2534.09
           0.3235           -0.095                0     -1.19955e+06      2.62256e+06          10987.6
           0.3335           -0.095                0     -1.12658e+06      2.18144e+06         -30721.5
           0.3435           -0.095                0     -1.03913e+06      1.75729e+06         -4990.28
           0.3535           -0.095                0          -903913      1.42645e+06         -5530.55
           0.3635           -0.095                0          -774346       1.1341e+06         -2808.43
           0.3735           -0.095                0          -660296           871867           1065.8
           0.3835           -0.095                0          -565192           667489           1554.8
           0.3935           -0.095                0          -481164           502772         -6314.01
           0.4035           -0.095                0          -386977           358760         -124.891
           0.4135           -0.095                0          -331387           249906          346.472
           0.4235           -0.095                0          -279540           162546         -1363.99
           0.4335           -0.095                0          -247154          86630.8          179.424
           0.4435           -0.095                0          -231782          21860.4           89.248
           0.0035           -0.085                0           271226            26079         -53.0273
           0.0135           -0.085                0           272600           100958          55.8946
           0.0235           -0.085                0           276805           176044         -164.649
           0.0335           -0.085                0           283167           253085         -1145.74
           0.0435           -0.085                0           291936           330940         -1493.51
           0.0535           -0.085                0           306814           414556          278.795
           0.0635           -0.085                0           319309           495108          34.1963
           0.0735           -0.085                0           337430           582487         -995.603
           0.0835           -0.085                0           363068           679677          386.585
           0.0935           -0.085                0           391143           779798         -540.996
           0.1035           -0.085                0           426111           891017          -941.97
           0.1135           -0.085                0           466378      1.00805e+06          1059.31
           0.1235           -0.085                0           510029      1.13273e+06         -1080.15
           0.1335           -0.085                0           568985      1.27697e+06         -5759.68
           0.1435           -0.085                0           633716      1.42535e+06         -20.6172
           0.1535           -0.085                0           716276      1.60406e+06         -10511.9
           0.1635           -0.085                0           818228      1.80689e+06          9346.02
           0.1735           -0.085                0           926138      2.02147e+06         -1515.71
           0.1835           -0.085                0      1.07851e+06      2.30928e+06         -5589.87
           0.1935           -0.085                0      1.23828e+06      2.61702e+06          9494.07
           0.2035           -0.085                0      1.36174e+06      3.01137e+06          1818.14
