h  errl2  errh1  h_l2  h_h1
1  0.001982220421015145  0.001471249104385799  0.001982220421015145  0.001471249104385799
0.5  0.0007135116133049988  0.0005646170104344103  6.194438815672328e-05  9.195306902411243e-05
0.25  0.0001186460476807373  0.0001001501165391613  1.935762129897602e-06  5.747066814007027e-06
0.125  2.158767099526267e-05  1.815965112817645e-05  6.049256655930008e-08  3.591916758754392e-07
0.0625  3.017940875374331e-06  2.455628613594535e-06  1.890392704978127e-09  2.244947974221495e-08
