h  errl2  errh1  h_l2  h_h1
1  8.871185538106172e-06  4.68611924575043e-05  8.871185538106172e-06  4.68611924575043e-05
0.5  3.723941829505042e-06  3.454791546916715e-05  1.108898192263271e-06  1.171529811437608e-05
0.25  3.744319595248944e-06  2.787941529151736e-05  1.386122740329089e-07  2.928824528594019e-06
0.125  1.486246889159239e-06  1.117543517931509e-05  1.732653425411362e-08  7.322061321485047e-07
0.0625  5.67067873600132e-07  4.25435926891472e-06  2.165816781764202e-09  1.830515330371262e-07
0.03125  2.171978064101534e-07  1.627984784555288e-06  2.707270977205253e-10  4.576288325928155e-08
0.015625  7.894092388877185e-08  5.90694563913414e-07  3.384088721506566e-11  1.144072081482039e-08
0.0078125  2.397965560636839e-08  1.788456388287123e-07  4.230110901883207e-12  2.860180203705097e-09
