h  errl2  errh1  h_l2  h_h1
1  3.532566468181366e-07  1.231958069745773e-05  3.532566468181366e-07  1.231958069745773e-05
0.5  4.222915417415533e-06  3.207595006273787e-05  2.207854042613354e-08  1.539947587182216e-06
0.25  2.051525891655604e-06  1.541979145844318e-05  1.379908776633346e-09  1.92493448397777e-07
0.125  7.678907784518834e-07  5.762298656360652e-06  8.624429853958412e-11  2.406168104972213e-08
0.0625  3.018784077927329e-07  2.267881800127578e-06  5.390268658724008e-12  3.007710131215266e-09
0.03125  1.1729336593091e-07  8.811272161575424e-07  3.368917911702505e-13  3.759637664019082e-10
0.015625  4.371711817597218e-08  3.28050662034186e-07  2.105573694814065e-14  4.699547080023853e-11
0.0078125  1.443650930757011e-08  1.081564576661553e-07  1.315983559258791e-15  5.874433850029816e-12
0.00390625  2.804648578521403e-09  2.094444540880956e-08  8.224897245367443e-17  7.34304231253727e-13
