h  errl2  errh1  h_l2  h_h1
1  8.915514173351626e-06  4.708780301298426e-05  8.915514173351626e-06  4.708780301298426e-05
0.5  3.728720127091535e-06  3.458414465577909e-05  1.114439271668953e-06  1.177195075324606e-05
0.25  3.742309739329234e-06  2.786594450473742e-05  1.393049089586192e-07  2.942987688311516e-06
0.125  1.485947174662207e-06  1.117297766722081e-05  1.74131136198274e-08  7.35746922077879e-07
0.0625  5.670449585316908e-07  4.254156604332133e-06  2.176639202478424e-09  1.839367305194698e-07
0.03125  2.171955188436921e-07  1.627964097278438e-06  2.72079900309803e-10  4.598418262986744e-08
0.015625  7.89406905484151e-08  5.90692431544321e-07  3.400998753872538e-11  1.149604565746686e-08
0.0078125  2.397962960520285e-08  1.78845425484595e-07  4.251248442340673e-12  2.874011414366715e-09
