x y
-15  6
-13.5  14
-12  30
-10.5  58
-9  100
-7.5  163
-6  242
-4.5  326
-3  405
-1.5  462
0  481
1.5  461
3  404
4.5  326
6  241
7.5  161
9  100
10.5  57
12  31
13.5  15
15  6
