x y c
0  0  660172.0000179569
0  0.003375  659984.0000087867
0  0.00675  659417.0000072219
0  0.010125  658501.000006313
0  0.0135  657191.0000003242
0  0.016875  655516.0000098236
0  0.02025  653462.0000416919
0  0.023625  651054.0002283462
0  0.027  648076.01027235

0.00575  0  661228.0001748708
0.00575  0.003375  661053.3010423589
0.00575  0.00675  660523.1848712234
0.00575  0.010125  659581.719048866
0.00575  0.0135  658269.9425313646
0.00575  0.016875  656590.5027403568
0.00575  0.02025  654525.9839269328
0.00575  0.023625  652097.092975273
0.00575  0.027  650829.2168227658

0.0115  0  664509.0001809365
0.0115  0.003375  664344.2440786945
0.0115  0.00675  663760.988960213
0.0115  0.010125  662818.9465957892
0.0115  0.0135  661475.4454437402
0.0115  0.016875  659845.375420352
0.0115  0.02025  657771.01463339
0.0115  0.023625  655343.7988356092
0.0115  0.027  658823.9572894265

0.01725  0  669910.0000014504
0.01725  0.003375  669685.7382279481
0.01725  0.00675  669154.9768099777
0.01725  0.010125  668264.868543093
0.01725  0.0135  666940.915206536
0.01725  0.016875  665256.735782664
0.01725  0.02025  663220.9316310961
0.01725  0.023625  660799.4515201731
0.01725  0.027  672642.6257489648

0.023  0  677555.0000484051
0.023  0.003375  677431.8265357711
0.023  0.00675  676845.4300033599
0.023  0.010125  675897.7363883435
0.023  0.0135  674551.6070713282
0.023  0.016875  672876.2159992204
0.023  0.02025  670804.0462031796
0.023  0.023625  668408.705264961
0.023  0.027  691739.8315737107

0.02875  0  687473.0000990423
0.02875  0.003375  687297.7610675828
0.02875  0.00675  686730.4616552974
0.02875  0.010125  685737.2190317881
0.02875  0.0135  684425.1859076275
0.02875  0.016875  682785.3025036512
0.02875  0.02025  680674.2240300393
0.02875  0.023625  678271.5276730529
0.02875  0.027  715982.9558627376

0.0345  0  699635.0010294339
0.0345  0.003375  699457.1609575321
0.0345  0.00675  698906.8988551814
0.0345  0.010125  697977.1979676172
0.0345  0.0135  696704.4712969763
0.0345  0.016875  694945.5373542238
0.0345  0.02025  692903.7703173098
0.0345  0.023625  690468.6646390699
0.0345  0.027  745439.3174223755

0.04025  0  714163.0006096407
0.04025  0.003375  713894.5697910116
0.04025  0.00675  713373.300508657
0.04025  0.010125  712440.1123991332
0.04025  0.0135  711112.6214641073
0.04025  0.016875  709411.6371988866
0.04025  0.02025  707337.3917253102
0.04025  0.023625  704942.6005676832
0.04025  0.027  779515.4003758174

0.046  0  730925.0004368556
0.046  0.003375  730680.1605736217
0.046  0.00675  730166.0357409983
0.046  0.010125  729304.1205027823
0.046  0.0135  728005.1023550214
0.046  0.016875  726218.9718990786
0.046  0.02025  724224.8291194222
0.046  0.023625  721786.0443460615
0.046  0.027  817950.5636878657

