Sample#, X-Step size = 1.6631, Y-Step size = 3.2239 ; 
#244, -40, -7 ; 
#245, -40, -7 ; 
#246, -40, -7 ; 
#247, -40, -7 ; 
#248, -41, -7 ; 
#249, -41, -7 ; 
#250, -41, -7 ; 
#251, -41, -7 ; 
#252, -41, -7 ; 
#253, -41, -7 ; 
#254, -41, -7 ; 
#255, -41, -7 ; 
#256, -42, -7 ; 
#257, -42, -7 ; 
#258, -42, -7 ; 
#259, -42, -7 ; 
#260, -42, -7 ; 
#261, -42, -7 ; 
#262, -42, -7 ; 
#263, -42, -7 ; 
#264, -43, -7 ; 
#265, -43, -7 ; 
#266, -43, -7 ; 
#267, -43, -7 ; 
#268, -43, -7 ; 
#269, -43, -7 ; 
#270, -43, -7 ; 
#271, -43, -7 ; 
#272, -43, -7 ; 
#273, -44, -7 ; 
#274, -44, -7 ; 
#275, -44, -7 ; 
#276, -44, -7 ; 
#277, -44, -7 ; 
#278, -44, -7 ; 
#279, -44, -7 ; 
#280, -44, -7 ; 
#281, -44, -7 ; 
#282, -44, -7 ; 
#283, -44, -7 ; 
#284, -44, -7 ; 
#285, -44, -7 ; 
#286, -44, -7 ; 
#287, -44, -7 ; 
#288, -44, -7 ; 
#289, -44, -7 ; 
#290, -44, -7 ; 
#291, -44, -7 ; 
#292, -44, -7 ; 
#293, -44, -7 ; 
#294, -44, -7 ; 
#295, -44, -7 ; 
#296, -44, -7 ; 
#297, -44, -7 ; 
#298, -44, -7 ; 
#299, -44, -7 ; 
#300, -44, -7 ; 
#301, -44, -7 ; 
#302, -44, -7 ; 
#303, -44, -7 ; 
#304, -44, -7 ; 
#305, -44, -7 ; 
#306, -44, -7 ; 
#307, -43, -7 ; 
#308, -43, -7 ; 
#309, -43, -7 ; 
#310, -43, -7 ; 
#311, -43, -7 ; 
#312, -43, -7 ; 
#313, -43, -7 ; 
#314, -43, -7 ; 
#315, -42, -7 ; 
#316, -42, -7 ; 
#317, -42, -7 ; 
#318, -42, -7 ; 
#319, -42, -7 ; 
#320, -41, -7 ; 
#321, -41, -7 ; 
#322, -41, -7 ; 
#323, -41, -7 ; 
#324, -40, -7 ; 
#325, -40, -7 ; 
#326, -40, -7 ; 
#327, -39, -7 ; 
#328, -39, -7 ; 
#329, -39, -7 ; 
#330, -38, -7 ; 
#331, -38, -7 ; 
#332, -37, -7 ; 
#333, -37, -7 ; 
#334, -36, -7 ; 
#335, -36, -7 ; 
#336, -36, -7 ; 
#337, -35, -7 ; 
#338, -35, -7 ; 
#339, -34, -7 ; 
#340, -34, -7 ; 
#341, -33, -7 ; 
#342, -33, -7 ; 
#343, -32, -7 ; 
#344, -32, -7 ; 
#345, -31, -7 ; 
#346, -31, -7 ; 
#347, -30, -7 ; 
#348, -30, -7 ; 
#349, -29, -7 ; 
#350, -29, -7 ; 
#351, -28, -7 ; 
#352, -27, -7 ; 
#353, -27, -7 ; 
#354, -26, -7 ; 
#355, -25, -7 ; 
#356, -25, -7 ; 
