Sample#, X-Step size = 1.6631, Y-Step size = 3.2239 ; 
#1045, 2534, 644 ; 
#1046, 2531, 650 ; 
#1047, 2528, 656 ; 
#1048, 2525, 662 ; 
#1049, 2521, 668 ; 
#1050, 2518, 675 ; 
#1051, 2514, 681 ; 
#1052, 2511, 688 ; 
#1053, 2507, 694 ; 
#1054, 2503, 701 ; 
#1055, 2499, 707 ; 
#1056, 2495, 714 ; 
#1057, 2490, 720 ; 
#1058, 2486, 727 ; 
#1059, 2482, 734 ; 
#1060, 2477, 740 ; 
#1061, 2472, 747 ; 
#1062, 2468, 754 ; 
#1063, 2463, 761 ; 
#1064, 2458, 767 ; 
#1065, 2453, 774 ; 
#1066, 2448, 781 ; 
#1067, 2443, 788 ; 
#1068, 2438, 795 ; 
#1069, 2433, 802 ; 
#1070, 2427, 809 ; 
#1071, 2422, 816 ; 
#1072, 2416, 823 ; 
#1073, 2411, 831 ; 
#1074, 2405, 838 ; 
#1075, 2399, 845 ; 
#1076, 2393, 852 ; 
#1077, 2387, 859 ; 
#1078, 2381, 866 ; 
#1079, 2375, 874 ; 
#1080, 2368, 881 ; 
#1081, 2362, 888 ; 
#1082, 2355, 896 ; 
#1083, 2349, 903 ; 
#1084, 2342, 911 ; 
#1085, 2336, 918 ; 
#1086, 2329, 926 ; 
#1087, 2322, 933 ; 
#1088, 2315, 941 ; 
#1089, 2308, 948 ; 
#1090, 2300, 956 ; 
#1091, 2293, 964 ; 
#1092, 2285, 971 ; 
#1093, 2278, 979 ; 
#1094, 2270, 987 ; 
#1095, 2263, 995 ; 
#1096, 2255, 1002 ; 
#1097, 2247, 1010 ; 
#1098, 2239, 1018 ; 
#1099, 2231, 1026 ; 
#1100, 2223, 1034 ; 
#1101, 2215, 1042 ; 
#1102, 2206, 1050 ; 
#1103, 2198, 1057 ; 
#1104, 2189, 1065 ; 
#1105, 2181, 1073 ; 
#1106, 2172, 1081 ; 
#1107, 2163, 1089 ; 
#1108, 2154, 1097 ; 
#1109, 2146, 1105 ; 
#1110, 2137, 1112 ; 
#1111, 2128, 1120 ; 
#1112, 2119, 1128 ; 
#1113, 2109, 1136 ; 
#1114, 2100, 1144 ; 
#1115, 2091, 1152 ; 
#1116, 2082, 1160 ; 
#1117, 2072, 1168 ; 
#1118, 2063, 1176 ; 
#1119, 2053, 1184 ; 
#1120, 2044, 1192 ; 
#1121, 2034, 1200 ; 
#1122, 2024, 1208 ; 
#1123, 2014, 1216 ; 
#1124, 2005, 1223 ; 
#1125, 1994, 1231 ; 
#1126, 1984, 1239 ; 
#1127, 1974, 1247 ; 
#1128, 1964, 1255 ; 
#1129, 1953, 1262 ; 
#1130, 1943, 1270 ; 
#1131, 1933, 1278 ; 
#1132, 1923, 1286 ; 
#1133, 1912, 1294 ; 
#1134, 1902, 1302 ; 
#1135, 1891, 1310 ; 
#1136, 1881, 1317 ; 
#1137, 1870, 1325 ; 
#1138, 1859, 1333 ; 
#1139, 1849, 1341 ; 
#1140, 1838, 1348 ; 
#1141, 1827, 1356 ; 
#1142, 1817, 1363 ; 
#1143, 1806, 1371 ; 
#1144, 1795, 1378 ; 
#1145, 1784, 1386 ; 
#1146, 1773, 1393 ; 
#1147, 1762, 1401 ; 
#1148, 1751, 1408 ; 
#1149, 1740, 1416 ; 
#1150, 1729, 1423 ; 
#1151, 1718, 1430 ; 
#1152, 1706, 1438 ; 
#1153, 1695, 1445 ; 
#1154, 1684, 1452 ; 
#1155, 1673, 1459 ; 
#1156, 1661, 1466 ; 
#1157, 1650, 1474 ; 
#1158, 1638, 1481 ; 
#1159, 1627, 1488 ; 
#1160, 1616, 1495 ; 
#1161, 1604, 1502 ; 
#1162, 1593, 1509 ; 
#1163, 1581, 1516 ; 
#1164, 1570, 1522 ; 
#1165, 1559, 1529 ; 
#1166, 1547, 1536 ; 
#1167, 1536, 1542 ; 
#1168, 1524, 1549 ; 
#1169, 1513, 1556 ; 
#1170, 1501, 1562 ; 
#1171, 1490, 1568 ; 
#1172, 1478, 1575 ; 
#1173, 1467, 1581 ; 
#1174, 1455, 1587 ; 
#1175, 1444, 1594 ; 
#1176, 1432, 1600 ; 
#1177, 1420, 1606 ; 
#1178, 1409, 1612 ; 
#1179, 1397, 1618 ; 
#1180, 1386, 1624 ; 
#1181, 1374, 1629 ; 
#1182, 1363, 1635 ; 
#1183, 1351, 1641 ; 
#1184, 1340, 1646 ; 
#1185, 1328, 1651 ; 
#1186, 1317, 1657 ; 
#1187, 1305, 1662 ; 
#1188, 1294, 1667 ; 
#1189, 1283, 1672 ; 
#1190, 1271, 1677 ; 
#1191, 1260, 1682 ; 
#1192, 1249, 1687 ; 
#1193, 1238, 1691 ; 
#1194, 1226, 1696 ; 
#1195, 1215, 1700 ; 
#1196, 1204, 1705 ; 
#1197, 1192, 1710 ; 
#1198, 1181, 1714 ; 
#1199, 1170, 1718 ; 
#1200, 1159, 1722 ; 
#1201, 1148, 1727 ; 
#1202, 1137, 1730 ; 
#1203, 1126, 1734 ; 
#1204, 1115, 1738 ; 
#1205, 1104, 1742 ; 
#1206, 1094, 1745 ; 
#1207, 1083, 1749 ; 
#1208, 1072, 1752 ; 
#1209, 1062, 1756 ; 
#1210, 1051, 1759 ; 
#1211, 1040, 1762 ; 
#1212, 1030, 1765 ; 
#1213, 1019, 1768 ; 
#1214, 1009, 1771 ; 
#1215, 998, 1774 ; 
#1216, 988, 1776 ; 
#1217, 977, 1779 ; 
#1218, 967, 1782 ; 
#1219, 957, 1784 ; 
#1220, 946, 1786 ; 
#1221, 936, 1788 ; 
#1222, 926, 1790 ; 
#1223, 916, 1792 ; 
#1224, 906, 1794 ; 
#1225, 896, 1795 ; 
#1226, 886, 1797 ; 
#1227, 876, 1798 ; 
#1228, 866, 1799 ; 
#1229, 856, 1800 ; 
#1230, 846, 1801 ; 
#1231, 836, 1802 ; 
#1232, 827, 1803 ; 
#1233, 817, 1804 ; 
#1234, 808, 1805 ; 
#1235, 798, 1805 ; 
#1236, 789, 1806 ; 
#1237, 779, 1807 ; 
#1238, 770, 1807 ; 
#1239, 761, 1807 ; 
#1240, 752, 1807 ; 
#1241, 742, 1807 ; 
#1242, 733, 1807 ; 
#1243, 724, 1807 ; 
#1244, 715, 1806 ; 
#1245, 706, 1806 ; 
#1246, 697, 1805 ; 
#1247, 689, 1805 ; 
#1248, 680, 1804 ; 
#1249, 671, 1803 ; 
#1250, 663, 1802 ; 
#1251, 654, 1801 ; 
#1252, 646, 1800 ; 
#1253, 637, 1798 ; 
#1254, 629, 1797 ; 
#1255, 620, 1795 ; 
#1256, 612, 1793 ; 
#1257, 604, 1791 ; 
#1258, 596, 1789 ; 
#1259, 588, 1787 ; 
#1260, 580, 1785 ; 
#1261, 572, 1782 ; 
#1262, 564, 1780 ; 
#1263, 556, 1777 ; 
#1264, 548, 1775 ; 
#1265, 540, 1772 ; 
#1266, 532, 1769 ; 
#1267, 525, 1766 ; 
#1268, 517, 1762 ; 
#1269, 510, 1759 ; 
#1270, 502, 1756 ; 
#1271, 495, 1752 ; 
#1272, 487, 1749 ; 
#1273, 480, 1745 ; 
#1274, 473, 1741 ; 
#1275, 466, 1737 ; 
#1276, 458, 1734 ; 
#1277, 451, 1730 ; 
#1278, 444, 1725 ; 
#1279, 437, 1721 ; 
#1280, 430, 1717 ; 
#1281, 424, 1712 ; 
#1282, 417, 1708 ; 
#1283, 410, 1703 ; 
#1284, 404, 1698 ; 
#1285, 397, 1693 ; 
#1286, 390, 1689 ; 
#1287, 384, 1684 ; 
#1288, 377, 1679 ; 
#1289, 371, 1674 ; 
#1290, 365, 1668 ; 
#1291, 359, 1663 ; 
#1292, 353, 1657 ; 
#1293, 347, 1652 ; 
#1294, 341, 1646 ; 
#1295, 335, 1640 ; 
#1296, 329, 1634 ; 
#1297, 323, 1629 ; 
#1298, 317, 1623 ; 
#1299, 311, 1616 ; 
#1300, 305, 1610 ; 
#1301, 299, 1604 ; 
#1302, 294, 1598 ; 
#1303, 288, 1591 ; 
#1304, 283, 1584 ; 
#1305, 277, 1578 ; 
#1306, 272, 1571 ; 
#1307, 267, 1564 ; 
#1308, 262, 1557 ; 
#1309, 256, 1550 ; 
#1310, 251, 1543 ; 
#1311, 246, 1536 ; 
#1312, 241, 1529 ; 
#1313, 236, 1522 ; 
#1314, 231, 1515 ; 
#1315, 226, 1507 ; 
#1316, 221, 1500 ; 
#1317, 217, 1493 ; 
#1318, 212, 1485 ; 
#1319, 208, 1477 ; 
#1320, 203, 1469 ; 
#1321, 199, 1462 ; 
#1322, 195, 1454 ; 
#1323, 190, 1446 ; 
#1324, 186, 1438 ; 
#1325, 182, 1430 ; 
#1326, 178, 1423 ; 
#1327, 174, 1415 ; 
#1328, 170, 1407 ; 
#1329, 166, 1399 ; 
#1330, 162, 1391 ; 
#1331, 158, 1383 ; 
#1332, 154, 1375 ; 
#1333, 150, 1367 ; 
#1334, 146, 1359 ; 
#1335, 142, 1350 ; 
#1336, 138, 1342 ; 
#1337, 135, 1334 ; 
#1338, 131, 1326 ; 
#1339, 128, 1317 ; 
#1340, 124, 1308 ; 
#1341, 121, 1300 ; 
#1342, 118, 1291 ; 
#1343, 114, 1282 ; 
#1344, 111, 1274 ; 
#1345, 108, 1265 ; 
#1346, 105, 1256 ; 
#1347, 102, 1247 ; 
#1348, 99, 1238 ; 
#1349, 96, 1229 ; 
#1350, 94, 1220 ; 
#1351, 91, 1212 ; 
#1352, 88, 1203 ; 
#1353, 86, 1194 ; 
#1354, 83, 1185 ; 
#1355, 81, 1177 ; 
#1356, 78, 1168 ; 
#1357, 76, 1159 ; 
#1358, 73, 1151 ; 
#1359, 71, 1142 ; 
#1360, 69, 1133 ; 
#1361, 67, 1124 ; 
#1362, 65, 1115 ; 
#1363, 63, 1107 ; 
#1364, 61, 1098 ; 
#1365, 59, 1089 ; 
#1366, 57, 1081 ; 
#1367, 55, 1072 ; 
#1368, 53, 1063 ; 
#1369, 51, 1055 ; 
#1370, 49, 1046 ; 
#1371, 47, 1037 ; 
#1372, 45, 1029 ; 
#1373, 44, 1020 ; 
#1374, 42, 1011 ; 
#1375, 41, 1003 ; 
#1376, 39, 994 ; 
#1377, 38, 986 ; 
#1378, 36, 977 ; 
#1379, 35, 969 ; 
#1380, 33, 960 ; 
#1381, 32, 952 ; 
#1382, 31, 943 ; 
#1383, 29, 935 ; 
#1384, 28, 926 ; 
#1385, 27, 917 ; 
#1386, 26, 909 ; 
#1387, 25, 900 ; 
#1388, 24, 891 ; 
#1389, 23, 883 ; 
#1390, 22, 875 ; 
#1391, 21, 866 ; 
#1392, 20, 858 ; 
#1393, 19, 850 ; 
#1394, 18, 842 ; 
#1395, 17, 833 ; 
#1396, 17, 825 ; 
#1397, 16, 817 ; 
#1398, 15, 809 ; 
#1399, 15, 801 ; 
#1400, 14, 793 ; 
#1401, 14, 785 ; 
#1402, 13, 777 ; 
#1403, 13, 769 ; 
#1404, 12, 761 ; 
#1405, 12, 753 ; 
#1406, 11, 746 ; 
#1407, 11, 738 ; 
#1408, 10, 730 ; 
#1409, 10, 722 ; 
#1410, 9, 715 ; 
#1411, 9, 707 ; 
#1412, 9, 700 ; 
#1413, 9, 692 ; 
#1414, 9, 685 ; 
#1415, 9, 677 ; 
#1416, 9, 670 ; 
#1417, 9, 663 ; 
#1418, 9, 656 ; 
#1419, 9, 649 ; 
#1420, 9, 642 ; 
#1421, 9, 634 ; 
#1422, 9, 627 ; 
#1423, 9, 620 ; 
#1424, 9, 613 ; 
#1425, 9, 605 ; 
#1426, 9, 598 ; 
#1427, 9, 591 ; 
#1428, 9, 585 ; 
#1429, 9, 578 ; 
#1430, 9, 571 ; 
#1431, 9, 565 ; 
#1432, 9, 558 ; 
#1433, 10, 552 ; 
#1434, 10, 546 ; 
#1435, 10, 539 ; 
#1436, 10, 533 ; 
#1437, 11, 527 ; 
#1438, 11, 521 ; 
#1439, 11, 514 ; 
#1440, 12, 508 ; 
#1441, 12, 502 ; 
#1442, 12, 496 ; 
#1443, 13, 490 ; 
#1444, 13, 484 ; 
#1445, 14, 478 ; 
#1446, 14, 472 ; 
#1447, 15, 467 ; 
#1448, 15, 461 ; 
#1449, 16, 455 ; 
#1450, 16, 450 ; 
#1451, 17, 444 ; 
#1452, 17, 438 ; 
#1453, 18, 433 ; 
#1454, 18, 427 ; 
#1455, 19, 422 ; 
#1456, 19, 417 ; 
#1457, 20, 411 ; 
#1458, 21, 406 ; 
#1459, 21, 401 ; 
#1460, 22, 396 ; 
#1461, 22, 391 ; 
#1462, 23, 386 ; 
#1463, 24, 381 ; 
#1464, 24, 376 ; 
#1465, 25, 371 ; 
#1466, 26, 366 ; 
#1467, 26, 361 ; 
#1468, 27, 356 ; 
#1469, 28, 351 ; 
#1470, 28, 347 ; 
#1471, 29, 342 ; 
#1472, 30, 338 ; 
#1473, 31, 333 ; 
#1474, 31, 329 ; 
#1475, 32, 324 ; 
#1476, 33, 320 ; 
#1477, 33, 316 ; 
#1478, 34, 312 ; 
#1479, 35, 308 ; 
#1480, 36, 304 ; 
#1481, 36, 300 ; 
#1482, 37, 296 ; 
#1483, 38, 292 ; 
#1484, 38, 288 ; 
#1485, 39, 284 ; 
#1486, 40, 280 ; 
#1487, 40, 276 ; 
#1488, 41, 272 ; 
#1489, 42, 268 ; 
#1490, 42, 264 ; 
#1491, 43, 261 ; 
#1492, 44, 257 ; 
#1493, 45, 254 ; 
#1494, 46, 250 ; 
#1495, 46, 247 ; 
#1496, 47, 243 ; 
#1497, 48, 240 ; 
#1498, 48, 237 ; 
#1499, 49, 233 ; 
#1500, 50, 230 ; 
#1501, 51, 227 ; 
#1502, 52, 223 ; 
#1503, 52, 220 ; 
#1504, 53, 217 ; 
#1505, 54, 213 ; 
#1506, 55, 210 ; 
#1507, 56, 207 ; 
#1508, 57, 204 ; 
#1509, 57, 202 ; 
#1510, 58, 199 ; 
#1511, 59, 196 ; 
#1512, 59, 193 ; 
#1513, 60, 190 ; 
#1514, 61, 188 ; 
#1515, 62, 185 ; 
#1516, 62, 182 ; 
#1517, 63, 180 ; 
#1518, 64, 177 ; 
#1519, 64, 174 ; 
#1520, 65, 172 ; 
#1521, 66, 169 ; 
#1522, 67, 167 ; 
#1523, 67, 164 ; 
#1524, 68, 162 ; 
#1525, 68, 159 ; 
#1526, 69, 157 ; 
#1527, 70, 155 ; 
#1528, 70, 153 ; 
#1529, 71, 150 ; 
#1530, 72, 148 ; 
#1531, 72, 146 ; 
#1532, 73, 144 ; 
#1533, 73, 142 ; 
#1534, 74, 140 ; 
#1535, 75, 138 ; 
#1536, 75, 136 ; 
#1537, 76, 134 ; 
#1538, 76, 132 ; 
#1539, 77, 130 ; 
#1540, 78, 128 ; 
#1541, 78, 126 ; 
#1542, 79, 124 ; 
#1543, 79, 123 ; 
#1544, 80, 121 ; 
#1545, 80, 119 ; 
#1546, 81, 117 ; 
#1547, 82, 115 ; 
#1548, 82, 113 ; 
#1549, 83, 111 ; 
#1550, 83, 110 ; 
#1551, 83, 108 ; 
#1552, 84, 107 ; 
#1553, 84, 105 ; 
#1554, 84, 104 ; 
#1555, 85, 102 ; 
#1556, 85, 101 ; 
#1557, 86, 99 ; 
#1558, 86, 98 ; 
#1559, 86, 96 ; 
#1560, 87, 95 ; 
#1561, 87, 93 ; 
#1562, 87, 92 ; 
#1563, 88, 90 ; 
#1564, 88, 89 ; 
#1565, 89, 87 ; 
#1566, 89, 86 ; 
#1567, 89, 84 ; 
#1568, 90, 83 ; 
#1569, 90, 82 ; 
#1570, 90, 80 ; 
#1571, 90, 79 ; 
#1572, 91, 78 ; 
#1573, 91, 76 ; 
#1574, 91, 75 ; 
#1575, 91, 74 ; 
#1576, 92, 73 ; 
#1577, 92, 71 ; 
#1578, 92, 70 ; 
#1579, 92, 69 ; 
#1580, 93, 68 ; 
#1581, 93, 67 ; 
#1582, 93, 66 ; 
#1583, 93, 64 ; 
#1584, 94, 63 ; 
#1585, 94, 62 ; 
#1586, 94, 61 ; 
#1587, 94, 60 ; 
#1588, 94, 59 ; 
#1589, 95, 58 ; 
#1590, 95, 57 ; 
#1591, 95, 56 ; 
#1592, 95, 55 ; 
#1593, 95, 54 ; 
#1594, 95, 53 ; 
#1595, 95, 52 ; 
#1596, 95, 52 ; 
#1597, 95, 51 ; 
#1598, 95, 50 ; 
#1599, 95, 49 ; 
#1600, 95, 49 ; 
#1601, 95, 48 ; 
#1602, 95, 47 ; 
#1603, 96, 46 ; 
#1604, 96, 45 ; 
#1605, 96, 45 ; 
#1606, 96, 44 ; 
#1607, 96, 43 ; 
#1608, 96, 42 ; 
#1609, 96, 42 ; 
#1610, 96, 41 ; 
#1611, 96, 40 ; 
#1612, 96, 39 ; 
#1613, 96, 38 ; 
#1614, 96, 38 ; 
#1615, 96, 37 ; 
#1616, 96, 36 ; 
#1617, 96, 36 ; 
#1618, 96, 35 ; 
#1619, 95, 34 ; 
#1620, 95, 33 ; 
#1621, 95, 33 ; 
#1622, 95, 32 ; 
#1623, 95, 31 ; 
#1624, 95, 31 ; 
#1625, 95, 30 ; 
#1626, 95, 29 ; 
#1627, 94, 29 ; 
#1628, 94, 28 ; 
#1629, 94, 28 ; 
#1630, 94, 27 ; 
#1631, 94, 27 ; 
#1632, 93, 26 ; 
#1633, 93, 26 ; 
#1634, 93, 25 ; 
#1635, 93, 25 ; 
#1636, 93, 24 ; 
#1637, 92, 24 ; 
#1638, 92, 23 ; 
#1639, 92, 23 ; 
#1640, 92, 23 ; 
#1641, 91, 22 ; 
#1642, 91, 22 ; 
#1643, 91, 21 ; 
#1644, 91, 21 ; 
#1645, 91, 20 ; 
#1646, 90, 20 ; 
#1647, 90, 19 ; 
#1648, 90, 19 ; 
#1649, 90, 19 ; 
#1650, 89, 18 ; 
#1651, 89, 18 ; 
#1652, 89, 17 ; 
#1653, 89, 17 ; 
#1654, 88, 17 ; 
#1655, 88, 16 ; 
#1656, 88, 16 ; 
#1657, 88, 16 ; 
#1658, 87, 15 ; 
#1659, 87, 15 ; 
#1660, 87, 14 ; 
#1661, 87, 14 ; 
#1662, 86, 14 ; 
#1663, 86, 13 ; 
#1664, 86, 13 ; 
#1665, 85, 13 ; 
#1666, 85, 13 ; 
#1667, 85, 12 ; 
#1668, 84, 12 ; 
#1669, 84, 12 ; 
#1670, 84, 12 ; 
#1671, 84, 11 ; 
#1672, 83, 11 ; 
#1673, 83, 11 ; 
#1674, 83, 11 ; 
#1675, 83, 10 ; 
#1676, 82, 10 ; 
#1677, 82, 10 ; 
#1678, 82, 10 ; 
#1679, 82, 10 ; 
#1680, 81, 9 ; 
#1681, 81, 9 ; 
#1682, 81, 9 ; 
#1683, 80, 9 ; 
#1684, 80, 8 ; 
#1685, 79, 8 ; 
#1686, 79, 8 ; 
#1687, 79, 8 ; 
#1688, 79, 8 ; 
#1689, 78, 7 ; 
#1690, 78, 7 ; 
#1691, 78, 7 ; 
#1692, 77, 7 ; 
#1693, 77, 6 ; 
#1694, 77, 6 ; 
#1695, 76, 6 ; 
#1696, 76, 6 ; 
#1697, 75, 6 ; 
#1698, 75, 5 ; 
#1699, 75, 5 ; 
#1700, 74, 5 ; 
#1701, 74, 5 ; 
#1702, 74, 5 ; 
#1703, 73, 4 ; 
#1704, 73, 4 ; 
#1705, 73, 4 ; 
#1706, 72, 4 ; 
#1707, 72, 4 ; 
#1708, 72, 4 ; 
#1709, 71, 4 ; 
#1710, 71, 4 ; 
#1711, 71, 3 ; 
#1712, 70, 3 ; 
#1713, 70, 3 ; 
#1714, 69, 3 ; 
#1715, 69, 3 ; 
#1716, 69, 3 ; 
#1717, 68, 3 ; 
#1718, 68, 3 ; 
#1719, 68, 3 ; 
#1720, 67, 3 ; 
#1721, 67, 3 ; 
#1722, 67, 3 ; 
#1723, 67, 3 ; 
#1724, 66, 2 ; 
#1725, 66, 2 ; 
#1726, 66, 2 ; 
#1727, 65, 2 ; 
#1728, 65, 2 ; 
#1729, 65, 2 ; 
#1730, 64, 2 ; 
#1731, 64, 2 ; 
#1732, 64, 1 ; 
#1733, 63, 1 ; 
#1734, 63, 1 ; 
#1735, 63, 1 ; 
#1736, 62, 1 ; 
#1737, 62, 0 ; 
#1738, 62, 0 ; 
#1739, 61, 0 ; 
#1740, 61, -1 ; 
#1741, 61, -1 ; 
#1742, 60, -1 ; 
#1743, 60, -1 ; 
#1744, 60, -1 ; 
#1745, 59, -1 ; 
#1746, 59, -1 ; 
#1747, 59, -1 ; 
#1748, 58, -1 ; 
#1749, 58, -1 ; 
#1750, 58, -2 ; 
#1751, 58, -2 ; 
#1752, 57, -2 ; 
#1753, 57, -2 ; 
#1754, 57, -2 ; 
#1755, 56, -2 ; 
#1756, 56, -2 ; 
#1757, 56, -2 ; 
#1758, 55, -2 ; 
#1759, 55, -2 ; 
#1760, 55, -2 ; 
#1761, 54, -1 ; 
#1762, 54, -1 ; 
#1763, 54, -1 ; 
#1764, 53, -1 ; 
#1765, 53, -1 ; 
#1766, 53, -1 ; 
#1767, 52, -1 ; 
#1768, 52, -1 ; 
#1769, 52, -1 ; 
#1770, 52, -1 ; 
#1771, 51, -1 ; 
#1772, 51, -2 ; 
#1773, 51, -2 ; 
#1774, 50, -2 ; 
#1775, 50, -2 ; 
#1776, 50, -2 ; 
#1777, 49, -2 ; 
#1778, 49, -2 ; 
#1779, 49, -2 ; 
#1780, 48, -2 ; 
#1781, 48, -2 ; 
#1782, 48, -2 ; 
#1783, 47, -2 ; 
#1784, 47, -2 ; 
#1785, 47, -2 ; 
#1786, 46, -2 ; 
#1787, 46, -2 ; 
#1788, 46, -2 ; 
#1789, 45, -2 ; 
#1790, 45, -2 ; 
#1791, 45, -2 ; 
#1792, 44, -2 ; 
#1793, 44, -2 ; 
#1794, 44, -2 ; 
#1795, 44, -2 ; 
#1796, 43, -2 ; 
#1797, 43, -2 ; 
#1798, 43, -2 ; 
#1799, 42, -2 ; 
#1800, 42, -2 ; 
#1801, 42, -2 ; 
#1802, 42, -2 ; 
#1803, 41, -2 ; 
#1804, 41, -2 ; 
#1805, 41, -2 ; 
#1806, 41, -2 ; 
#1807, 40, -2 ; 
#1808, 40, -2 ; 
#1809, 40, -2 ; 
#1810, 40, -3 ; 
#1811, 39, -3 ; 
#1812, 39, -3 ; 
#1813, 39, -3 ; 
#1814, 39, -3 ; 
#1815, 39, -3 ; 
#1816, 38, -3 ; 
#1817, 38, -3 ; 
#1818, 38, -3 ; 
#1819, 38, -4 ; 
#1820, 37, -4 ; 
#1821, 37, -4 ; 
#1822, 37, -4 ; 
#1823, 37, -4 ; 
#1824, 36, -4 ; 
#1825, 36, -4 ; 
#1826, 36, -4 ; 
#1827, 36, -4 ; 
#1828, 36, -4 ; 
#1829, 35, -4 ; 
#1830, 35, -4 ; 
#1831, 35, -4 ; 
#1832, 35, -4 ; 
#1833, 34, -4 ; 
#1834, 34, -4 ; 
#1835, 34, -4 ; 
#1836, 34, -4 ; 
#1837, 34, -4 ; 
#1838, 33, -4 ; 
#1839, 33, -4 ; 
#1840, 33, -4 ; 
#1841, 33, -4 ; 
#1842, 33, -4 ; 
#1843, 32, -4 ; 
#1844, 32, -4 ; 
#1845, 32, -4 ; 
#1846, 32, -4 ; 
#1847, 32, -4 ; 
#1848, 31, -4 ; 
#1849, 31, -5 ; 
#1850, 31, -5 ; 
#1851, 31, -5 ; 
#1852, 31, -5 ; 
#1853, 30, -5 ; 
#1854, 30, -5 ; 
#1855, 30, -5 ; 
#1856, 30, -5 ; 
#1857, 30, -5 ; 
#1858, 29, -5 ; 
#1859, 29, -5 ; 
#1860, 29, -5 ; 
#1861, 29, -5 ; 
#1862, 29, -5 ; 
#1863, 28, -5 ; 
#1864, 28, -5 ; 
#1865, 28, -5 ; 
#1866, 28, -5 ; 
#1867, 28, -5 ; 
#1868, 28, -5 ; 
#1869, 28, -5 ; 
#1870, 28, -5 ; 
#1871, 28, -5 ; 
#1872, 28, -5 ; 
#1873, 28, -5 ; 
#1874, 28, -5 ; 
#1875, 28, -5 ; 
#1876, 28, -5 ; 
#1877, 28, -5 ; 
#1878, 27, -5 ; 
#1879, 27, -5 ; 
#1880, 26, -5 ; 
#1881, 26, -5 ; 
#1882, 26, -5 ; 
#1883, 26, -5 ; 
#1884, 26, -5 ; 
#1885, 26, -5 ; 
#1886, 26, -5 ; 
#1887, 26, -5 ; 
#1888, 26, -5 ; 
#1889, 26, -5 ; 
#1890, 25, -5 ; 
#1891, 25, -5 ; 
#1892, 25, -5 ; 
#1893, 25, -5 ; 
#1894, 25, -5 ; 
#1895, 25, -5 ; 
#1896, 24, -5 ; 
#1897, 24, -5 ; 
#1898, 24, -5 ; 
#1899, 24, -5 ; 
#1900, 24, -5 ; 
#1901, 24, -5 ; 
#1902, 24, -5 ; 
#1903, 24, -5 ; 
#1904, 24, -5 ; 
#1905, 24, -5 ; 
#1906, 24, -5 ; 
#1907, 24, -5 ; 
#1908, 24, -5 ; 
#1909, 24, -5 ; 
#1910, 23, -5 ; 
#1911, 23, -5 ; 
#1912, 23, -5 ; 
#1913, 23, -5 ; 
#1914, 23, -5 ; 
#1915, 23, -5 ; 
#1916, 23, -5 ; 
#1917, 23, -5 ; 
#1918, 23, -5 ; 
#1919, 23, -5 ; 
#1920, 23, -5 ; 
#1921, 23, -5 ; 
#1922, 23, -5 ; 
#1923, 23, -5 ; 
#1924, 23, -5 ; 
#1925, 23, -5 ; 
#1926, 23, -5 ; 
#1927, 22, -5 ; 
#1928, 22, -5 ; 
#1929, 22, -5 ; 
#1930, 22, -5 ; 
#1931, 22, -5 ; 
#1932, 22, -5 ; 
#1933, 22, -5 ; 
#1934, 22, -5 ; 
#1935, 22, -5 ; 
#1936, 22, -5 ; 
#1937, 22, -5 ; 
#1938, 22, -5 ; 
#1939, 21, -5 ; 
#1940, 21, -5 ; 
#1941, 21, -5 ; 
#1942, 21, -5 ; 
#1943, 21, -5 ; 
#1944, 21, -5 ; 
#1945, 21, -5 ; 
#1946, 21, -5 ; 
#1947, 21, -5 ; 
#1948, 21, -5 ; 
#1949, 21, -5 ; 
#1950, 21, -5 ; 
#1951, 21, -5 ; 
#1952, 21, -5 ; 
#1953, 21, -5 ; 
#1954, 21, -5 ; 
#1955, 21, -5 ; 
#1956, 21, -5 ; 
#1957, 21, -5 ; 
#1958, 21, -5 ; 
#1959, 21, -5 ; 
#1960, 21, -5 ; 
#1961, 21, -5 ; 
#1962, 21, -5 ; 
#1963, 21, -5 ; 
#1964, 21, -5 ; 
#1965, 21, -5 ; 
#1966, 21, -5 ; 
#1967, 21, -5 ; 
#1968, 21, -5 ; 
#1969, 21, -5 ; 
#1970, 21, -5 ; 
#1971, 21, -5 ; 
#1972, 21, -5 ; 
#1973, 21, -5 ; 
#1974, 21, -5 ; 
#1975, 21, -5 ; 
#1976, 21, -5 ; 
#1977, 21, -5 ; 
#1978, 21, -5 ; 
#1979, 21, -5 ; 
#1980, 21, -5 ; 
#1981, 21, -5 ; 
#1982, 21, -5 ; 
#1983, 21, -5 ; 
#1984, 21, -5 ; 
#1985, 21, -5 ; 
#1986, 21, -5 ; 
#1987, 21, -5 ; 
#1988, 21, -5 ; 
#1989, 21, -5 ; 
#1990, 21, -5 ; 
#1991, 21, -5 ; 
#1992, 21, -5 ; 
#1993, 21, -5 ; 
#1994, 21, -5 ; 
#1995, 20, -5 ; 
#1996, 20, -5 ; 
#1997, 20, -5 ; 
#1998, 20, -5 ; 
#1999, 20, -5 ; 
#2000, 20, -5 ; 
