            x [m]            y [m]            z [m]         Ex [V/m]         Ey [V/m]         Ez [V/m]
         0.321014            0.002                0     -3.90624e+06          45852.8         -12144.8
         0.321154            0.002                0      -3.9142e+06          46148.8         -11543.5
         0.321294            0.002                0     -3.92217e+06          46444.9         -10942.1
         0.321434            0.002                0     -3.93013e+06            46741         -10340.9
         0.321575            0.002                0     -3.93809e+06            47037         -9739.61
         0.321715            0.002                0     -3.94606e+06          47333.1         -9138.23
         0.321855            0.002                0     -3.95402e+06          47629.2         -8536.97
         0.321995            0.002                0     -3.96198e+06          47925.2         -7935.73
         0.322135            0.002                0     -3.96995e+06          48221.2         -7334.47
         0.322275            0.002                0     -3.97791e+06          48517.3          -6733.1
         0.322415            0.002                0     -3.98588e+06          48813.4         -6131.84
         0.322556            0.002                0     -3.99384e+06          49109.4         -5530.57
         0.322696            0.002                0      -4.0018e+06          49405.5          -4929.2
         0.322836            0.002                0     -4.00937e+06          48298.4         -2733.96
         0.322976            0.002                0     -4.01661e+06          46060.7          745.721
         0.323116            0.002                0     -4.02386e+06          43822.5          4226.14
         0.323256            0.002                0      -4.0311e+06          41584.8          7705.83
         0.323396            0.002                0     -4.03835e+06          39347.1          11185.5
         0.323537            0.002                0     -4.04559e+06          37108.9          14665.9
         0.323677            0.002                0     -4.05284e+06          34871.2          18145.6
         0.323817            0.002                0     -4.05541e+06          32160.3          18312.4
         0.323957            0.002                0     -4.05572e+06          29218.7          16868.3
         0.324097            0.002                0     -4.05603e+06          26277.7          15424.5
         0.324237            0.002                0     -4.05633e+06          23336.8          13980.8
         0.324377            0.002                0     -4.05664e+06          20395.2          12536.7
         0.324518            0.002                0     -4.05695e+06          17454.3            11093
         0.324658            0.002                0     -4.05726e+06          14513.3          9649.21
         0.324798            0.002                0     -4.05756e+06          11571.8          8205.15
         0.324938            0.002                0     -4.05787e+06          8630.81          6761.41
         0.325078            0.002                0     -4.05818e+06          5689.86          5317.65
         0.325218            0.002                0     -4.05848e+06          2748.29          3873.59
         0.325358            0.002                0     -4.05929e+06         -132.781          2532.15
         0.325498            0.002                0     -4.06103e+06         -2901.09          1383.44
         0.325639            0.002                0     -4.06278e+06         -5669.99          234.471
         0.325779            0.002                0     -4.06452e+06          -8438.3          -914.24
         0.325919            0.002                0     -4.06627e+06         -11206.6         -2062.96
         0.326059            0.002                0     -4.06802e+06         -13975.5         -3211.92
         0.326199            0.002                0     -4.06976e+06         -16743.8         -4360.63
         0.326339            0.002                0     -4.07151e+06         -19512.1         -5509.35
         0.326479            0.002                0     -4.07325e+06         -22280.4         -6658.06
          0.32662            0.002                0       -4.075e+06         -25049.3         -7807.02
          0.32676            0.002                0     -4.07674e+06         -27817.6         -8955.73
           0.3269            0.002                0     -4.07849e+06           -30586         -10104.5
          0.32704            0.002                0     -4.08023e+06         -33354.8         -11253.4
          0.32718            0.002                0     -4.08198e+06         -36123.2         -12402.1
          0.32732            0.002                0     -4.08372e+06         -38891.5         -13550.8
          0.32746            0.002                0     -4.08547e+06         -41660.4         -14699.8
         0.327601            0.002                0     -4.08721e+06         -44428.7         -15848.5
         0.327741            0.002                0     -4.08896e+06           -47197         -16997.2
         0.327881            0.002                0      -4.0907e+06         -49965.9         -18146.2
         0.328021            0.002                0     -4.09245e+06         -52734.2         -19294.9
         0.328161            0.002                0     -4.09419e+06         -55502.5         -20443.6
         0.328301            0.002                0     -4.09594e+06         -58271.4         -21592.6
         0.328441            0.002                0     -4.09768e+06         -61039.7         -22741.3
         0.328582            0.002                0     -4.09943e+06           -63808           -23890
         0.328722            0.002                0     -4.09773e+06         -62753.5         -23925.1
         0.328862            0.002                0     -4.09576e+06         -61397.9         -23872.5
         0.329002            0.002                0     -4.09379e+06         -60042.4         -23819.8
         0.329142            0.002                0     -4.09182e+06         -58686.6         -23767.2
         0.329282            0.002                0     -4.08985e+06         -57331.1         -23714.5
         0.329422            0.002                0     -4.08788e+06         -55975.5         -23661.9
         0.329563            0.002                0     -4.08591e+06         -54619.7         -23609.2
         0.329703            0.002                0     -4.08394e+06         -53264.2         -23556.6
         0.329843            0.002                0     -4.08197e+06         -51908.7         -23503.9
         0.329983            0.002                0        -4.08e+06         -50552.9         -23451.3
         0.330123            0.002                0     -4.07803e+06         -49197.4         -23398.6
         0.330263            0.002                0     -4.07606e+06         -47841.8           -23346
         0.330403            0.002                0     -4.07409e+06           -46486         -23293.3
         0.330544            0.002                0     -4.07212e+06         -45130.5         -23240.7
