            x [m]            y [m]            z [m]         Ex [V/m]         Ey [V/m]         Ez [V/m]
         0.321855                0                0     -3.93117e+06          1115.84           2631.1
         0.321995                0                0     -3.93927e+06          1623.79          2921.27
         0.322135                0                0     -3.94738e+06          2131.74          3211.43
         0.322275                0                0     -3.95549e+06           2639.8          3501.66
         0.322415                0                0      -3.9636e+06          3147.74          3791.82
         0.322556                0                0     -3.97171e+06           3655.7          4081.99
         0.322696                0                0     -3.97982e+06          4163.75          4372.21
         0.322836                0                0     -3.98793e+06           4671.7          4662.38
         0.322976                0                0     -3.99604e+06          5179.65          4952.55
         0.323116                0                0     -4.00415e+06           5687.7          5242.76
         0.323256                0                0     -4.01226e+06          6195.64          5532.92
         0.323396                0                0     -4.02037e+06          6703.59          5823.09
         0.323537                0                0     -4.02848e+06          7211.65          6113.32
         0.323677                0                0     -4.03659e+06           7719.6          6403.48
         0.323817                0                0      -4.0447e+06          8227.55          6693.65
         0.323957                0                0     -4.05281e+06          8735.61          6983.87
         0.324097                0                0      -4.0582e+06          7847.63          6660.96
         0.324237                0                0     -4.05995e+06          5079.33          5512.26
         0.324377                0                0     -4.06169e+06          2310.43          4363.29
         0.324518                0                0     -4.06344e+06         -457.883          3214.58
         0.324658                0                0     -4.06518e+06         -3226.19          2065.88
         0.324798                0                0     -4.06693e+06         -5995.09          916.908
         0.324938                0                0     -4.06867e+06         -8763.39         -231.805
         0.325078                0                0     -4.07042e+06         -11531.7         -1380.53
         0.325218                0                0     -4.07216e+06         -14300.6         -2529.49
         0.325358                0                0     -4.07391e+06         -17068.9          -3678.2
         0.325498                0                0     -4.07566e+06         -19837.2         -4826.93
         0.325639                0                0      -4.0774e+06         -22606.1         -5975.87
         0.325779                0                0     -4.07915e+06         -25374.4         -7124.59
         0.325919                0                0     -4.08089e+06         -28142.7          -8273.3
         0.326059                0                0     -4.08264e+06         -30911.6         -9422.26
         0.326199                0                0     -4.08438e+06         -33679.9           -10571
         0.326339                0                0     -4.08613e+06         -36448.3         -11719.7
         0.326479                0                0     -4.08787e+06         -39216.6         -12868.4
          0.32662                0                0     -4.08962e+06         -41985.5         -14017.4
          0.32676                0                0     -4.09136e+06         -44753.8         -15166.1
           0.3269                0                0     -4.09311e+06         -47522.1         -16314.8
          0.32704                0                0     -4.09485e+06           -50291         -17463.8
          0.32718                0                0      -4.0966e+06         -53059.3         -18612.5
          0.32732                0                0     -4.09834e+06         -55827.6         -19761.2
          0.32746                0                0     -4.10009e+06         -58596.5         -20910.1
         0.327601                0                0     -4.10066e+06         -60059.4         -21678.6
         0.327741                0                0     -4.09869e+06         -58703.9         -21625.9
         0.327881                0                0     -4.09672e+06         -57348.1         -21573.3
         0.328021                0                0     -4.09475e+06         -55992.5         -21520.6
         0.328161                0                0     -4.09278e+06           -54637           -21468
         0.328301                0                0     -4.09081e+06         -53281.2         -21415.3
         0.328441                0                0     -4.08884e+06         -51925.7         -21362.7
         0.328582                0                0     -4.08687e+06         -50570.2           -21310
         0.328722                0                0      -4.0849e+06         -49214.3         -21257.4
         0.328862                0                0     -4.08293e+06         -47858.8         -21204.7
         0.329002                0                0     -4.08096e+06         -46503.3         -21152.1
         0.329142                0                0     -4.07899e+06         -45147.5         -21099.4
         0.329282                0                0     -4.07702e+06           -43792         -21046.8
         0.329422                0                0     -4.07505e+06         -42436.4         -20994.1
         0.329563                0                0     -4.07307e+06         -41080.6         -20941.5
         0.329703                0                0      -4.0711e+06         -39725.1         -20888.8
         0.329843                0                0     -4.06914e+06         -38369.6         -20836.2
         0.329983                0                0     -4.06717e+06         -37013.8         -20783.5
