h  errl2  errh1  h_l2  h_h1
1  2.585096182543275e-07  1.164613034463078e-05  2.585096182543275e-07  1.164613034463078e-05
0.5  4.217238762094228e-06  3.203862446953495e-05  1.615685114089547e-08  1.455766293078847e-06
0.25  2.051060742460923e-06  1.541604555633863e-05  1.009803196305967e-09  1.819707866348559e-07
0.125  7.678663833272258e-07  5.762082807873996e-06  6.311269976912293e-11  2.274634832935699e-08
0.0625  3.018759497443846e-07  2.267859624535516e-06  3.944543735570183e-12  2.843293541169624e-09
0.03125  1.172931284357261e-07  8.811250608728375e-07  2.465339834731364e-13  3.554116926462029e-10
0.015625  4.371709284493958e-08  3.280504457418578e-07  1.540837396707103e-14  4.442646158077537e-11
0.0078125  1.443650756522395e-08  1.081564399768199e-07  9.630233729419392e-16  5.553307697596921e-12
0.00390625  2.804645629935598e-09  2.094444956312318e-08  6.01889608088712e-17  6.941634621996151e-13
