h  errl2  errh1  h_l2  h_h1
1  2.622385309122165e-05  9.690807885050748e-05  2.622385309122165e-05  9.690807885050748e-05
0.5  2.644962309725502e-05  9.667135924561287e-05  6.555963272805412e-06  4.845403942525374e-05
0.25  1.400609668869533e-05  8.274230126265926e-05  1.638990818201353e-06  2.422701971262687e-05
0.125  5.887792185382614e-06  4.279691482853814e-05  4.097477045503383e-07  1.211350985631343e-05
0.0625  2.291100159092322e-06  1.7561647140072e-05  1.024369261375846e-07  6.056754928156717e-06
0.03125  8.748580745142273e-07  6.716241845420666e-06  2.560923153439614e-08  3.028377464078359e-06
0.015625  3.317651763106659e-07  2.517029038270623e-06  6.402307883599036e-09  1.514188732039179e-06
0.0078125  1.222578068736159e-07  9.151492696122629e-07  1.600576970899759e-09  7.570943660195897e-07
